stage,risk_level,stock_code,stock_name,bond_code,bond_name,issue_amount_billion,planned_issue_amount_billion,actual_issue_amount_billion,record_date,priority_subscribe_date,online_subscribe_date,priority_payment_date,winning_result_date,listing_date,convert_start_date,convert_end_date,registered_date,issue_announce_date,latest_announcement_date,latest_title,latest_url,next_action
今日申购/配债,最高,603339,四方科技,113710,四方转债,10.23395,,,,,2026-09-03,,,,,,,,,,,今天操作原股东配售/网上申购，并确认账户资金。
已上市,低,301628,强达电路,123284,强达转债,5.5,,,,,2026-08-19,,,2026-09-03,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300953,震裕科技,123282,震裕转02,11.95,,,,,2026-08-17,,,2023-11-09,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301565,中仑新材,123281,中仑转债,10.68,,,,,2026-08-06,,,2026-08-24,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,605123,派克新材,111026,派克转债,15.8,,,,,2026-08-06,,,2026-08-25,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688605,先锋精科,118076,先锋转债,7.5,,,,,2026-08-06,,,2026-08-26,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300453,三鑫医疗,123280,三鑫转债,5.3,,,,,2026-08-04,,,2026-08-19,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301626,苏州天脉,123279,天脉转债,7.86,,,,,2026-08-03,,,2026-08-18,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603067,振华股份,113709,振26转债,4.0621,,,,,2026-07-30,,,2024-08-02,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300697,电工合金,123278,合金转债,5.45,,,,,2026-07-30,,,2026-08-18,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688686,奥普特,118075,奥普转债,12.7,,,,,2026-07-29,,,2026-08-19,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300815,玉禾田,123277,玉禾转债,15.0,,,,,2026-07-29,,,2026-08-14,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688278,特宝生物,118074,特宝转债,15.33266,,,,,2026-07-28,,,2026-08-13,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,001202,炬申股份,127115,炬申转债,3.8,,,,,2026-07-24,,,2026-08-13,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,600642,申能股份,110103,申能转债,20.0,,,,,2026-07-24,,,2026-08-13,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300631,久吾高科,123276,久吾转02,2.54,,,,,2026-07-20,,,2020-04-17,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688480,赛恩斯,118073,赛斯转债,5.519,,,,,2026-07-17,,,2026-08-12,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603019,中科曙光,113708,曙26转债,11.2,,,,,2026-07-15,,,2018-08-23,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,600389,江山股份,110102,江农转债,11.85,,,,,2026-07-14,,,2026-08-05,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301000,肇民科技,123275,肇民转债,5.9,,,,,2026-07-09,,,2026-07-24,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603786,科博达,113707,科博转债,14.9074,,,,,2026-07-03,,,2026-07-31,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301499,维科精密,123274,维科转债,6.3,,,,,2026-06-26,,,2026-07-10,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,000422,湖北宜化,127114,宜化转债,33.0,,,,,2026-06-26,,,2026-07-14,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,605589,圣泉集团,111025,圣泉转债,25.0,,,,,2026-06-25,,,2026-07-21,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,600456,宝钛股份,110101,宝钛转债,35.0,,,,,2026-06-24,,,2026-07-16,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688668,鼎通科技,118072,鼎通转债,9.3,,,,,2026-06-24,,,2026-07-17,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688200,华峰测控,118071,华峰转债,7.49475,,,,,2026-06-23,,,2026-07-17,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688484,南芯科技,118070,南芯转债,15.86881,,,,,2026-06-18,,,2026-07-10,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301059,金三江,123273,三江转债,2.9,,,,,2026-06-17,,,2026-07-03,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603270,金帝股份,113706,金帝转债,9.7,,,,,2026-06-15,,,2026-07-10,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603809,豪能股份,113705,豪26转债,5.0,,,,,2026-06-15,,,2022-12-23,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688092,爱科科技,118069,爱科转债,2.66954,,,,,2026-06-11,,,2026-07-09,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301215,中汽股份,123272,中汽转债,10.3904,,,,,2026-06-11,,,2026-06-30,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603129,春风动力,113704,春风转债,21.78763,,,,,2026-06-10,,,2026-07-07,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603112,华翔股份,113703,翔26转债,8.0,,,,,2026-06-08,,,2022-01-20,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688377,迪威尔,118068,迪威转债,9.07705,,,,,2026-06-04,,,2026-06-30,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300491,通合科技,123271,通合转债,5.219327,,,,,2026-06-02,,,2026-06-17,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300881,盛德鑫泰,123270,盛德转债,4.050968,,,,,2026-06-01,,,2026-06-12,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301210,金杨精密,123269,金杨转债,9.8,,,,,2026-04-20,,,2026-05-11,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300964,本川智能,123268,本川转债,4.69,,,,,2026-04-17,,,2026-05-07,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603290,斯达半导,113702,斯达转债,15.0,,,,,2026-04-16,,,2026-05-11,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301611,珂玛科技,123267,珂玛转债,7.5,,,,,2026-04-16,,,2026-05-13,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688533,上声电子,118067,上26转债,5.2,,,,,2026-03-18,,,2023-08-01,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300622,博士眼镜,123266,博士转债,3.75,,,,,2026-03-18,,,2026-04-07,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,002452,长高电气,127113,长高转债,7.586007,,,,,2026-03-09,,,2026-03-30,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603500,祥和实业,113701,祥和转债,4.0,,,,,2026-03-03,,,2026-03-26,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688210,统联精密,118066,统联转债,5.76,,,,,2026-03-02,,,2026-03-20,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603759,海天股份,113700,海天转债,8.01,,,,,2026-02-05,,,2026-03-12,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,600853,龙建股份,110100,龙建转债,10.0,,,,,2026-01-22,,,2026-02-12,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688798,艾为电子,118065,艾为转债,19.0132,,,,,2026-01-22,,,2026-02-26,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,001301,尚太科技,127112,尚太转债,17.34,,,,,2026-01-16,,,2026-02-05,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300818,耐普矿机,123265,耐普转02,4.0,,,,,2026-01-16,,,2021-11-19,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688300,联瑞新材,118064,联瑞转债,6.95,,,,,2026-01-08,,,2026-01-28,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301036,双乐股份,123264,双乐转债,8.0,,,,,2025-12-26,,,2026-01-16,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688676,金盘科技,118063,金05转债,9.76702,,,,,2025-12-25,,,2022-10-13,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300378,鼎捷数智,123263,鼎捷转债,8.276642,,,,,2025-12-15,,,2025-12-31,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688003,天准科技,118062,天准转债,8.72,,,,,2025-12-12,,,2025-12-31,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300563,神宇股份,123262,神宇转债,5.0,,,,,2025-12-11,,,2025-12-30,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,605058,澳弘电子,111024,澳弘转债,5.8,,,,,2025-12-11,,,2026-01-16,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300996,普联软件,123261,普联转债,2.429326,,,,,2025-12-05,,,2025-12-22,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688502,茂莱光学,118061,茂莱转债,5.625,,,,,2025-11-21,,,2025-12-10,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688800,瑞可达,118060,瑞可转债,10.0,,,,,2025-11-14,,,2025-12-12,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,301398,星源卓镁,123260,卓镁转债,4.5,,,,,2025-11-07,,,2025-11-24,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,688352,颀中科技,118059,颀中转债,8.5,,,,,2025-11-03,,,2025-11-21,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,300763,锦浪科技,123259,锦浪转02,8.97,,,,,2025-10-17,,,2022-03-02,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,600483,福能股份,110099,福能转债,28.3,,,,,2025-10-13,,,2018-12-28,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603979,金诚信,113699,金25转债,10.0,,,,,2025-09-26,,,2021-01-14,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
已上市,低,603308,应流股份,113697,应流转债,15.0,,,,,2025-09-19,,,2025-10-22,,,,,,,,已上市交易，后续关注转股期、下修、强赎、回售。
